id,url,statut,type,cluster,parent_hub,requete_principale,pays,ville,priorite
"22","/methode/conduite-du-changement-gouvernance-et-delivery","publié","pilier méthodologie","methode","/methode","Conduite du changement, gouvernance et delivery","","","2"
"23","/methode/roi-kpi-portefeuille-et-feuille-de-route","publié","pilier méthodologie","methode","/methode","ROI, KPI, portefeuille et feuille de route","","","2"
"24","/methode/mission-complete-de-digitalisation","publié","pilier méthodologie","methode","/methode","Mission complète de digitalisation","","","2"
"25","/comparatifs/consultant-vs-agence-generaliste","publié","page de décision","comparatifs","/services","Consultant spécialisé vs agence généraliste","","","3"
"26","/comparatifs/conseil-plus-execution-vs-cabinet-conseil","publié","page de décision","comparatifs","/services","Conseil + exécution vs cabinet de conseil classique","","","3"
"27","/comparatifs/alternative-cabinet-conseil-international","publié","page de décision","comparatifs","/services","Alternative à un grand cabinet de conseil international","","","3"
"28","/comparatifs/freelance-vs-cabinet-transformation-digitale","publié","page de décision","comparatifs","/services","Freelance vs cabinet pour la transformation digitale","","","3"
"29","/comparatifs/comment-choisir-consultant-transformation-digitale","publié","page de décision","comparatifs","/services","Comment choisir un consultant en transformation digitale","","","3"
"30","/comparatifs/audit-digital-vs-audit-informatique","publié","page de décision","comparatifs","/services","Audit digital vs audit informatique classique","","","3"
"31","/comparatifs/automatisation-vs-ia-que-choisir","publié","page de décision","comparatifs","/services","Automatisation vs IA : que choisir en premier","","","3"
"32","/comparatifs/agence-locale-vs-prestataire-a-distance","publié","page de décision","comparatifs","/services","Agence locale vs prestataire à distance pour la transformation digitale","","","3"
"33","/comparatifs/meilleur-consultant-transformation-digitale-2026","publié","page de décision","comparatifs","/services","Meilleur consultant en transformation digitale en 2026","","","3"
"34","/comparatifs/quand-faire-appel-a-un-consultant-digital","publié","page de décision","comparatifs","/services","Quand faire appel à un consultant en digitalisation","","","3"
"35","/secteurs/banque-et-finance","publié","page secteur","secteurs","/services","Transformation digitale pour banque et finance","","","3"
"36","/secteurs/retail-et-distribution","publié","page secteur","secteurs","/services","Transformation digitale pour retail et distribution","","","3"
"37","/secteurs/sante","publié","page secteur","secteurs","/services","Transformation digitale pour santé","","","3"
"38","/secteurs/agroalimentaire","publié","page secteur","secteurs","/services","Transformation digitale pour agroalimentaire","","","3"
"39","/secteurs/telecoms","publié","page secteur","secteurs","/services","Transformation digitale pour télécoms","","","3"
"40","/secteurs/education-et-formation","publié","page secteur","secteurs","/services","Transformation digitale pour éducation et formation","","","3"
"41","/secteurs/assurance","publié","page secteur","secteurs","/services","Transformation digitale pour assurance","","","3"
"42","/secteurs/transport-et-logistique","publié","page secteur","secteurs","/services","Transformation digitale pour transport et logistique","","","3"
"43","/secteurs/immobilier","publié","page secteur","secteurs","/services","Transformation digitale pour immobilier","","","3"
"44","/secteurs/industrie-et-manufacturing","publié","page secteur","secteurs","/services","Transformation digitale pour industrie et manufacturing","","","3"
"45","/secteurs/secteur-public","publié","page secteur","secteurs","/services","Transformation digitale pour secteur public","","","3"
"46","/secteurs/ong-et-associations","publié","page secteur","secteurs","/services","Transformation digitale pour ong et associations","","","3"
"47","/secteurs/hotellerie-et-tourisme","publié","page secteur","secteurs","/services","Transformation digitale pour hôtellerie et tourisme","","","3"
"48","/secteurs/btp-et-construction","publié","page secteur","secteurs","/services","Transformation digitale pour btp et construction","","","3"
"49","/secteurs/energie","publié","page secteur","secteurs","/services","Transformation digitale pour énergie","","","3"
"50","/pays/benin","publié","hub pays","geo","/services","Transformation digitale Bénin","Bénin","","4"
"51","/services/audit-diagnostic-digital/benin/cotonou","publié","service x ville phare","geo","/pays/benin","Audit et diagnostic digital à Cotonou","Bénin","Cotonou","4"
"52","/services/refonte-processus/benin/cotonou","publié","service x ville phare","geo","/pays/benin","Refonte des processus métier à Cotonou","Bénin","Cotonou","4"
"53","/services/automatisation-integrations/benin/cotonou","publié","service x ville phare","geo","/pays/benin","Automatisation et intégrations à Cotonou","Bénin","Cotonou","4"
"54","/services/ia-entreprise/benin/cotonou","publié","service x ville phare","geo","/pays/benin","Intelligence artificielle en entreprise à Cotonou","Bénin","Cotonou","4"
"55","/services/developpement-outils-metier/benin/cotonou","publié","service x ville phare","geo","/pays/benin","Développement d'outils métier à Cotonou","Bénin","Cotonou","4"
"56","/services/pilotage-deploiement/benin/cotonou","publié","service x ville phare","geo","/pays/benin","Pilotage et déploiement à Cotonou","Bénin","Cotonou","4"
"57","/pays/benin/porto-novo","publié","hub ville secondaire","geo","/pays/benin","Transformation digitale à Porto-Novo","Bénin","Porto-Novo","5"
"58","/pays/benin/parakou","publié","hub ville secondaire","geo","/pays/benin","Transformation digitale à Parakou","Bénin","Parakou","5"
"59","/pays/benin/abomey-calavi","publié","hub ville secondaire","geo","/pays/benin","Transformation digitale à Abomey-Calavi","Bénin","Abomey-Calavi","5"
"60","/pays/benin/djougou","publié","hub ville secondaire","geo","/pays/benin","Transformation digitale à Djougou","Bénin","Djougou","5"
"61","/pays/benin/bohicon","publié","hub ville secondaire","geo","/pays/benin","Transformation digitale à Bohicon","Bénin","Bohicon","5"
"62","/pays/benin/kandi","publié","hub ville secondaire","geo","/pays/benin","Transformation digitale à Kandi","Bénin","Kandi","5"
"63","/pays/benin/lokossa","publié","hub ville secondaire","geo","/pays/benin","Transformation digitale à Lokossa","Bénin","Lokossa","5"
"64","/pays/benin/ouidah","publié","hub ville secondaire","geo","/pays/benin","Transformation digitale à Ouidah","Bénin","Ouidah","5"
"65","/pays/benin/abomey","publié","hub ville secondaire","geo","/pays/benin","Transformation digitale à Abomey","Bénin","Abomey","5"
"66","/pays/cote-divoire","publié","hub pays","geo","/services","Transformation digitale Côte d'Ivoire","Côte d'Ivoire","","4"
"67","/services/audit-diagnostic-digital/cote-divoire/abidjan","publié","service x ville phare","geo","/pays/cote-divoire","Audit et diagnostic digital à Abidjan","Côte d'Ivoire","Abidjan","4"
"68","/services/refonte-processus/cote-divoire/abidjan","publié","service x ville phare","geo","/pays/cote-divoire","Refonte des processus métier à Abidjan","Côte d'Ivoire","Abidjan","4"
"69","/services/automatisation-integrations/cote-divoire/abidjan","publié","service x ville phare","geo","/pays/cote-divoire","Automatisation et intégrations à Abidjan","Côte d'Ivoire","Abidjan","4"
"70","/services/ia-entreprise/cote-divoire/abidjan","publié","service x ville phare","geo","/pays/cote-divoire","Intelligence artificielle en entreprise à Abidjan","Côte d'Ivoire","Abidjan","4"
"71","/services/developpement-outils-metier/cote-divoire/abidjan","publié","service x ville phare","geo","/pays/cote-divoire","Développement d'outils métier à Abidjan","Côte d'Ivoire","Abidjan","4"
"72","/services/pilotage-deploiement/cote-divoire/abidjan","publié","service x ville phare","geo","/pays/cote-divoire","Pilotage et déploiement à Abidjan","Côte d'Ivoire","Abidjan","4"
"73","/pays/cote-divoire/bouake","publié","hub ville secondaire","geo","/pays/cote-divoire","Transformation digitale à Bouaké","Côte d'Ivoire","Bouaké","5"
"74","/pays/cote-divoire/daloa","publié","hub ville secondaire","geo","/pays/cote-divoire","Transformation digitale à Daloa","Côte d'Ivoire","Daloa","5"
"75","/pays/cote-divoire/yamoussoukro","publié","hub ville secondaire","geo","/pays/cote-divoire","Transformation digitale à Yamoussoukro","Côte d'Ivoire","Yamoussoukro","5"
"76","/pays/cote-divoire/korhogo","publié","hub ville secondaire","geo","/pays/cote-divoire","Transformation digitale à Korhogo","Côte d'Ivoire","Korhogo","5"
"77","/pays/cote-divoire/san-pedro","publié","hub ville secondaire","geo","/pays/cote-divoire","Transformation digitale à San-Pédro","Côte d'Ivoire","San-Pédro","5"
"78","/pays/cote-divoire/man","publié","hub ville secondaire","geo","/pays/cote-divoire","Transformation digitale à Man","Côte d'Ivoire","Man","5"
"79","/pays/cote-divoire/divo","publié","hub ville secondaire","geo","/pays/cote-divoire","Transformation digitale à Divo","Côte d'Ivoire","Divo","5"
"80","/pays/cote-divoire/gagnoa","publié","hub ville secondaire","geo","/pays/cote-divoire","Transformation digitale à Gagnoa","Côte d'Ivoire","Gagnoa","5"
"81","/pays/cote-divoire/abengourou","publié","hub ville secondaire","geo","/pays/cote-divoire","Transformation digitale à Abengourou","Côte d'Ivoire","Abengourou","5"
"82","/pays/senegal","publié","hub pays","geo","/services","Transformation digitale Sénégal","Sénégal","","4"
"83","/services/audit-diagnostic-digital/senegal/dakar","publié","service x ville phare","geo","/pays/senegal","Audit et diagnostic digital à Dakar","Sénégal","Dakar","4"
"84","/services/refonte-processus/senegal/dakar","publié","service x ville phare","geo","/pays/senegal","Refonte des processus métier à Dakar","Sénégal","Dakar","4"
"85","/services/automatisation-integrations/senegal/dakar","publié","service x ville phare","geo","/pays/senegal","Automatisation et intégrations à Dakar","Sénégal","Dakar","4"
"86","/services/ia-entreprise/senegal/dakar","publié","service x ville phare","geo","/pays/senegal","Intelligence artificielle en entreprise à Dakar","Sénégal","Dakar","4"
"87","/services/developpement-outils-metier/senegal/dakar","publié","service x ville phare","geo","/pays/senegal","Développement d'outils métier à Dakar","Sénégal","Dakar","4"
"88","/services/pilotage-deploiement/senegal/dakar","publié","service x ville phare","geo","/pays/senegal","Pilotage et déploiement à Dakar","Sénégal","Dakar","4"
"89","/pays/senegal/touba","publié","hub ville secondaire","geo","/pays/senegal","Transformation digitale à Touba","Sénégal","Touba","5"
"90","/pays/senegal/thies","publié","hub ville secondaire","geo","/pays/senegal","Transformation digitale à Thiès","Sénégal","Thiès","5"
"91","/pays/senegal/kaolack","publié","hub ville secondaire","geo","/pays/senegal","Transformation digitale à Kaolack","Sénégal","Kaolack","5"
"92","/pays/senegal/m-bour","publié","hub ville secondaire","geo","/pays/senegal","Transformation digitale à M'bour","Sénégal","M'bour","5"
"93","/pays/senegal/saint-louis","publié","hub ville secondaire","geo","/pays/senegal","Transformation digitale à Saint-Louis","Sénégal","Saint-Louis","5"
"94","/pays/senegal/rufisque","publié","hub ville secondaire","geo","/pays/senegal","Transformation digitale à Rufisque","Sénégal","Rufisque","5"
"95","/pays/senegal/ziguinchor","publié","hub ville secondaire","geo","/pays/senegal","Transformation digitale à Ziguinchor","Sénégal","Ziguinchor","5"
"96","/pays/senegal/diourbel","publié","hub ville secondaire","geo","/pays/senegal","Transformation digitale à Diourbel","Sénégal","Diourbel","5"
"97","/pays/senegal/louga","publié","hub ville secondaire","geo","/pays/senegal","Transformation digitale à Louga","Sénégal","Louga","5"
"98","/pays/togo","publié","hub pays","geo","/services","Transformation digitale Togo","Togo","","4"
"99","/services/audit-diagnostic-digital/togo/lome","publié","service x ville phare","geo","/pays/togo","Audit et diagnostic digital à Lomé","Togo","Lomé","4"
"100","/services/refonte-processus/togo/lome","publié","service x ville phare","geo","/pays/togo","Refonte des processus métier à Lomé","Togo","Lomé","4"
"101","/services/automatisation-integrations/togo/lome","publié","service x ville phare","geo","/pays/togo","Automatisation et intégrations à Lomé","Togo","Lomé","4"
"102","/services/ia-entreprise/togo/lome","publié","service x ville phare","geo","/pays/togo","Intelligence artificielle en entreprise à Lomé","Togo","Lomé","4"
"103","/services/developpement-outils-metier/togo/lome","publié","service x ville phare","geo","/pays/togo","Développement d'outils métier à Lomé","Togo","Lomé","4"
"104","/services/pilotage-deploiement/togo/lome","publié","service x ville phare","geo","/pays/togo","Pilotage et déploiement à Lomé","Togo","Lomé","4"
"105","/pays/togo/sokode","publié","hub ville secondaire","geo","/pays/togo","Transformation digitale à Sokodé","Togo","Sokodé","5"
"106","/pays/togo/kara","publié","hub ville secondaire","geo","/pays/togo","Transformation digitale à Kara","Togo","Kara","5"
"107","/pays/togo/kpalime","publié","hub ville secondaire","geo","/pays/togo","Transformation digitale à Kpalimé","Togo","Kpalimé","5"
"108","/pays/togo/atakpame","publié","hub ville secondaire","geo","/pays/togo","Transformation digitale à Atakpamé","Togo","Atakpamé","5"
"109","/pays/togo/dapaong","publié","hub ville secondaire","geo","/pays/togo","Transformation digitale à Dapaong","Togo","Dapaong","5"
"110","/pays/togo/tsevie","publié","hub ville secondaire","geo","/pays/togo","Transformation digitale à Tsévié","Togo","Tsévié","5"
"111","/pays/togo/aneho","publié","hub ville secondaire","geo","/pays/togo","Transformation digitale à Aného","Togo","Aného","5"
"112","/pays/togo/bassar","publié","hub ville secondaire","geo","/pays/togo","Transformation digitale à Bassar","Togo","Bassar","5"
"113","/pays/togo/mango","publié","hub ville secondaire","geo","/pays/togo","Transformation digitale à Mango","Togo","Mango","5"
"114","/pays/burkina-faso","publié","hub pays","geo","/services","Transformation digitale Burkina Faso","Burkina Faso","","4"
"115","/services/audit-diagnostic-digital/burkina-faso/ouagadougou","publié","service x ville phare","geo","/pays/burkina-faso","Audit et diagnostic digital à Ouagadougou","Burkina Faso","Ouagadougou","4"
"116","/services/refonte-processus/burkina-faso/ouagadougou","publié","service x ville phare","geo","/pays/burkina-faso","Refonte des processus métier à Ouagadougou","Burkina Faso","Ouagadougou","4"
"117","/services/automatisation-integrations/burkina-faso/ouagadougou","publié","service x ville phare","geo","/pays/burkina-faso","Automatisation et intégrations à Ouagadougou","Burkina Faso","Ouagadougou","4"
"118","/services/ia-entreprise/burkina-faso/ouagadougou","publié","service x ville phare","geo","/pays/burkina-faso","Intelligence artificielle en entreprise à Ouagadougou","Burkina Faso","Ouagadougou","4"
"119","/services/developpement-outils-metier/burkina-faso/ouagadougou","publié","service x ville phare","geo","/pays/burkina-faso","Développement d'outils métier à Ouagadougou","Burkina Faso","Ouagadougou","4"
"120","/services/pilotage-deploiement/burkina-faso/ouagadougou","publié","service x ville phare","geo","/pays/burkina-faso","Pilotage et déploiement à Ouagadougou","Burkina Faso","Ouagadougou","4"
"121","/pays/burkina-faso/bobo-dioulasso","publié","hub ville secondaire","geo","/pays/burkina-faso","Transformation digitale à Bobo-Dioulasso","Burkina Faso","Bobo-Dioulasso","5"
"122","/pays/burkina-faso/koudougou","publié","hub ville secondaire","geo","/pays/burkina-faso","Transformation digitale à Koudougou","Burkina Faso","Koudougou","5"
"123","/pays/burkina-faso/banfora","publié","hub ville secondaire","geo","/pays/burkina-faso","Transformation digitale à Banfora","Burkina Faso","Banfora","5"
"124","/pays/burkina-faso/ouahigouya","publié","hub ville secondaire","geo","/pays/burkina-faso","Transformation digitale à Ouahigouya","Burkina Faso","Ouahigouya","5"
"125","/pays/burkina-faso/kaya","publié","hub ville secondaire","geo","/pays/burkina-faso","Transformation digitale à Kaya","Burkina Faso","Kaya","5"
"126","/pays/burkina-faso/tenkodogo","publié","hub ville secondaire","geo","/pays/burkina-faso","Transformation digitale à Tenkodogo","Burkina Faso","Tenkodogo","5"
"127","/pays/burkina-faso/fada-n-gourma","publié","hub ville secondaire","geo","/pays/burkina-faso","Transformation digitale à Fada N'Gourma","Burkina Faso","Fada N'Gourma","5"
"128","/pays/burkina-faso/dedougou","publié","hub ville secondaire","geo","/pays/burkina-faso","Transformation digitale à Dédougou","Burkina Faso","Dédougou","5"
"129","/pays/burkina-faso/reo","publié","hub ville secondaire","geo","/pays/burkina-faso","Transformation digitale à Réo","Burkina Faso","Réo","5"
"130","/pays/mali","publié","hub pays","geo","/services","Transformation digitale Mali","Mali","","4"
"131","/services/audit-diagnostic-digital/mali/bamako","publié","service x ville phare","geo","/pays/mali","Audit et diagnostic digital à Bamako","Mali","Bamako","4"
"132","/services/refonte-processus/mali/bamako","publié","service x ville phare","geo","/pays/mali","Refonte des processus métier à Bamako","Mali","Bamako","4"
"133","/services/automatisation-integrations/mali/bamako","publié","service x ville phare","geo","/pays/mali","Automatisation et intégrations à Bamako","Mali","Bamako","4"
"134","/services/ia-entreprise/mali/bamako","publié","service x ville phare","geo","/pays/mali","Intelligence artificielle en entreprise à Bamako","Mali","Bamako","4"
"135","/services/developpement-outils-metier/mali/bamako","publié","service x ville phare","geo","/pays/mali","Développement d'outils métier à Bamako","Mali","Bamako","4"
"136","/services/pilotage-deploiement/mali/bamako","publié","service x ville phare","geo","/pays/mali","Pilotage et déploiement à Bamako","Mali","Bamako","4"
"137","/pays/mali/sikasso","publié","hub ville secondaire","geo","/pays/mali","Transformation digitale à Sikasso","Mali","Sikasso","5"
"138","/pays/mali/segou","publié","hub ville secondaire","geo","/pays/mali","Transformation digitale à Ségou","Mali","Ségou","5"
"139","/pays/mali/mopti","publié","hub ville secondaire","geo","/pays/mali","Transformation digitale à Mopti","Mali","Mopti","5"
"140","/pays/mali/koutiala","publié","hub ville secondaire","geo","/pays/mali","Transformation digitale à Koutiala","Mali","Koutiala","5"
"141","/pays/mali/kayes","publié","hub ville secondaire","geo","/pays/mali","Transformation digitale à Kayes","Mali","Kayes","5"
"142","/pays/mali/gao","publié","hub ville secondaire","geo","/pays/mali","Transformation digitale à Gao","Mali","Gao","5"
"143","/pays/mali/kati","publié","hub ville secondaire","geo","/pays/mali","Transformation digitale à Kati","Mali","Kati","5"
"144","/pays/mali/tombouctou","publié","hub ville secondaire","geo","/pays/mali","Transformation digitale à Tombouctou","Mali","Tombouctou","5"
"145","/pays/mali/san","publié","hub ville secondaire","geo","/pays/mali","Transformation digitale à San","Mali","San","5"
"146","/pays/niger","publié","hub pays","geo","/services","Transformation digitale Niger","Niger","","4"
"147","/services/audit-diagnostic-digital/niger/niamey","publié","service x ville phare","geo","/pays/niger","Audit et diagnostic digital à Niamey","Niger","Niamey","4"
"148","/services/refonte-processus/niger/niamey","publié","service x ville phare","geo","/pays/niger","Refonte des processus métier à Niamey","Niger","Niamey","4"
"149","/services/automatisation-integrations/niger/niamey","publié","service x ville phare","geo","/pays/niger","Automatisation et intégrations à Niamey","Niger","Niamey","4"
"150","/services/ia-entreprise/niger/niamey","publié","service x ville phare","geo","/pays/niger","Intelligence artificielle en entreprise à Niamey","Niger","Niamey","4"
"151","/services/developpement-outils-metier/niger/niamey","publié","service x ville phare","geo","/pays/niger","Développement d'outils métier à Niamey","Niger","Niamey","4"
"152","/services/pilotage-deploiement/niger/niamey","publié","service x ville phare","geo","/pays/niger","Pilotage et déploiement à Niamey","Niger","Niamey","4"
"153","/pays/niger/zinder","publié","hub ville secondaire","geo","/pays/niger","Transformation digitale à Zinder","Niger","Zinder","5"
"154","/pays/niger/maradi","publié","hub ville secondaire","geo","/pays/niger","Transformation digitale à Maradi","Niger","Maradi","5"
"155","/pays/niger/agadez","publié","hub ville secondaire","geo","/pays/niger","Transformation digitale à Agadez","Niger","Agadez","5"
"156","/pays/niger/tahoua","publié","hub ville secondaire","geo","/pays/niger","Transformation digitale à Tahoua","Niger","Tahoua","5"
"157","/pays/niger/dosso","publié","hub ville secondaire","geo","/pays/niger","Transformation digitale à Dosso","Niger","Dosso","5"
"158","/pays/niger/diffa","publié","hub ville secondaire","geo","/pays/niger","Transformation digitale à Diffa","Niger","Diffa","5"
"159","/pays/niger/tillaberi","publié","hub ville secondaire","geo","/pays/niger","Transformation digitale à Tillabéri","Niger","Tillabéri","5"
"160","/pays/niger/arlit","publié","hub ville secondaire","geo","/pays/niger","Transformation digitale à Arlit","Niger","Arlit","5"
"161","/pays/niger/birni-n-konni","publié","hub ville secondaire","geo","/pays/niger","Transformation digitale à Birni N'Konni","Niger","Birni N'Konni","5"
"162","/pays/guinee","publié","hub pays","geo","/services","Transformation digitale Guinée","Guinée","","4"
"163","/services/audit-diagnostic-digital/guinee/conakry","publié","service x ville phare","geo","/pays/guinee","Audit et diagnostic digital à Conakry","Guinée","Conakry","4"
"164","/services/refonte-processus/guinee/conakry","publié","service x ville phare","geo","/pays/guinee","Refonte des processus métier à Conakry","Guinée","Conakry","4"
"165","/services/automatisation-integrations/guinee/conakry","publié","service x ville phare","geo","/pays/guinee","Automatisation et intégrations à Conakry","Guinée","Conakry","4"
"166","/services/ia-entreprise/guinee/conakry","publié","service x ville phare","geo","/pays/guinee","Intelligence artificielle en entreprise à Conakry","Guinée","Conakry","4"
"167","/services/developpement-outils-metier/guinee/conakry","publié","service x ville phare","geo","/pays/guinee","Développement d'outils métier à Conakry","Guinée","Conakry","4"
"168","/services/pilotage-deploiement/guinee/conakry","publié","service x ville phare","geo","/pays/guinee","Pilotage et déploiement à Conakry","Guinée","Conakry","4"
"169","/pays/guinee/nzerekore","publié","hub ville secondaire","geo","/pays/guinee","Transformation digitale à Nzérékoré","Guinée","Nzérékoré","5"
"170","/pays/guinee/kankan","publié","hub ville secondaire","geo","/pays/guinee","Transformation digitale à Kankan","Guinée","Kankan","5"
"171","/pays/guinee/kindia","publié","hub ville secondaire","geo","/pays/guinee","Transformation digitale à Kindia","Guinée","Kindia","5"
"172","/pays/guinee/labe","publié","hub ville secondaire","geo","/pays/guinee","Transformation digitale à Labé","Guinée","Labé","5"
"173","/pays/guinee/mamou","publié","hub ville secondaire","geo","/pays/guinee","Transformation digitale à Mamou","Guinée","Mamou","5"
"174","/pays/guinee/boke","publié","hub ville secondaire","geo","/pays/guinee","Transformation digitale à Boké","Guinée","Boké","5"
"175","/pays/guinee/faranah","publié","hub ville secondaire","geo","/pays/guinee","Transformation digitale à Faranah","Guinée","Faranah","5"
"176","/pays/guinee/kissidougou","publié","hub ville secondaire","geo","/pays/guinee","Transformation digitale à Kissidougou","Guinée","Kissidougou","5"
"177","/pays/guinee/gueckedou","publié","hub ville secondaire","geo","/pays/guinee","Transformation digitale à Guéckédou","Guinée","Guéckédou","5"
"178","/pays/cameroun","publié","hub pays","geo","/services","Transformation digitale Cameroun","Cameroun","","4"
"179","/services/audit-diagnostic-digital/cameroun/douala","publié","service x ville phare","geo","/pays/cameroun","Audit et diagnostic digital à Douala","Cameroun","Douala","4"
"180","/services/refonte-processus/cameroun/douala","publié","service x ville phare","geo","/pays/cameroun","Refonte des processus métier à Douala","Cameroun","Douala","4"
"181","/services/automatisation-integrations/cameroun/douala","publié","service x ville phare","geo","/pays/cameroun","Automatisation et intégrations à Douala","Cameroun","Douala","4"
"182","/services/ia-entreprise/cameroun/douala","publié","service x ville phare","geo","/pays/cameroun","Intelligence artificielle en entreprise à Douala","Cameroun","Douala","4"
"183","/services/developpement-outils-metier/cameroun/douala","publié","service x ville phare","geo","/pays/cameroun","Développement d'outils métier à Douala","Cameroun","Douala","4"
"184","/services/pilotage-deploiement/cameroun/douala","publié","service x ville phare","geo","/pays/cameroun","Pilotage et déploiement à Douala","Cameroun","Douala","4"
"185","/pays/cameroun/yaounde","publié","hub ville secondaire","geo","/pays/cameroun","Transformation digitale à Yaoundé","Cameroun","Yaoundé","5"
"186","/pays/cameroun/garoua","publié","hub ville secondaire","geo","/pays/cameroun","Transformation digitale à Garoua","Cameroun","Garoua","5"
"187","/pays/cameroun/maroua","publié","hub ville secondaire","geo","/pays/cameroun","Transformation digitale à Maroua","Cameroun","Maroua","5"
"188","/pays/cameroun/bafoussam","publié","hub ville secondaire","geo","/pays/cameroun","Transformation digitale à Bafoussam","Cameroun","Bafoussam","5"
"189","/pays/cameroun/ngaoundere","publié","hub ville secondaire","geo","/pays/cameroun","Transformation digitale à Ngaoundéré","Cameroun","Ngaoundéré","5"
"190","/pays/cameroun/bertoua","publié","hub ville secondaire","geo","/pays/cameroun","Transformation digitale à Bertoua","Cameroun","Bertoua","5"
"191","/pays/cameroun/edea","publié","hub ville secondaire","geo","/pays/cameroun","Transformation digitale à Édéa","Cameroun","Édéa","5"
"192","/pays/cameroun/kribi","publié","hub ville secondaire","geo","/pays/cameroun","Transformation digitale à Kribi","Cameroun","Kribi","5"
"193","/pays/cameroun/dschang","publié","hub ville secondaire","geo","/pays/cameroun","Transformation digitale à Dschang","Cameroun","Dschang","5"
"194","/pays/gabon","publié","hub pays","geo","/services","Transformation digitale Gabon","Gabon","","4"
"195","/services/audit-diagnostic-digital/gabon/libreville","publié","service x ville phare","geo","/pays/gabon","Audit et diagnostic digital à Libreville","Gabon","Libreville","4"
"196","/services/refonte-processus/gabon/libreville","publié","service x ville phare","geo","/pays/gabon","Refonte des processus métier à Libreville","Gabon","Libreville","4"
"197","/services/automatisation-integrations/gabon/libreville","publié","service x ville phare","geo","/pays/gabon","Automatisation et intégrations à Libreville","Gabon","Libreville","4"
"198","/services/ia-entreprise/gabon/libreville","publié","service x ville phare","geo","/pays/gabon","Intelligence artificielle en entreprise à Libreville","Gabon","Libreville","4"
"199","/services/developpement-outils-metier/gabon/libreville","publié","service x ville phare","geo","/pays/gabon","Développement d'outils métier à Libreville","Gabon","Libreville","4"
"200","/services/pilotage-deploiement/gabon/libreville","publié","service x ville phare","geo","/pays/gabon","Pilotage et déploiement à Libreville","Gabon","Libreville","4"
"201","/pays/gabon/port-gentil","publié","hub ville secondaire","geo","/pays/gabon","Transformation digitale à Port-Gentil","Gabon","Port-Gentil","5"
"202","/pays/gabon/franceville","publié","hub ville secondaire","geo","/pays/gabon","Transformation digitale à Franceville","Gabon","Franceville","5"
"203","/pays/gabon/oyem","publié","hub ville secondaire","geo","/pays/gabon","Transformation digitale à Oyem","Gabon","Oyem","5"
"204","/pays/gabon/moanda","publié","hub ville secondaire","geo","/pays/gabon","Transformation digitale à Moanda","Gabon","Moanda","5"
"205","/pays/gabon/lambarene","publié","hub ville secondaire","geo","/pays/gabon","Transformation digitale à Lambaréné","Gabon","Lambaréné","5"
"206","/pays/gabon/mouila","publié","hub ville secondaire","geo","/pays/gabon","Transformation digitale à Mouila","Gabon","Mouila","5"
